,上映日期,电影名称,电影类型
0,"上映时间:
              2019-11-01",天气之子,"类型:
              爱情／动画／奇幻"
1,"上映时间:
              2019-12-13",误杀,"类型:
              剧情／犯罪"
2,"上映时间:
              2018-02-16",唐人街探案2,"类型:
              喜剧／动作／悬疑"
3,"上映时间:
              2019-07-26",哪吒之魔童降世,"类型:
              动画／喜剧／奇幻"
4,"上映时间:
              2019-10-25",少年的你,"类型:
              爱情／青春／剧情"
5,"上映时间:
              2019-12-06",吹哨人,"类型:
              剧情／犯罪／悬疑"
6,"上映时间:
              2019-05-31",哥斯拉2：怪兽之王,"类型:
              科幻／灾难／动作"
7,"上映时间:
              2017-07-27",战狼2,"类型:
              动作／战争"
8,"上映时间:
              2020-06-25",毒液2,"类型:
              动作／科幻／惊悚／恐怖"
9,"上映时间:
              2017-10-20",恐怖电影院2,"类型:
              恐怖／惊悚"
